CELLID,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_DEN_NUMBER,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_NUM_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIOD_DEN_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIO_NUM_NUMBER,U_VS_HSDPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSDPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSDPA_64QAM_UE_MEAN_CELL_NONE,U_VS_HSDPA_UE_MAX_CELL_NONE,U_VS_HSDPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSUPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSUPA_16QAM_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MAX_CELL_NONE,U_VS_HSUPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MEAN_TTI2MS,U_TRAFICO_CS_ERLANG_ERL,U_CS_RAB_CONGESTION_RATIO_NUM_NONE,U_CS_RAB_CONGESTION_RATIO_DEN_NONE,U_RRC_CONGESTION_RATIONUM_NUMBER,U_RRC_CONGESTION_RATIODEN_NUMBER,U_PS_RAB_CONGESTION_RATIO_DEN_NONE,U_PS_RAB_CONGESTION_RATIO_NUM_NONE,U_VS_CELL_UNAVAILTIME_SYS_S,IA_CS_UMTS_OPT_RF_NUM,IA_CS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_NUM,G_CS_SERVICE_DROP_RATIO_DEN_NONE,G_CS_SERVICE_DROP_RATIO_NUM_NONE,G_PS_CALL_DROP_RATIO_DEN_NONE,G_PS_CALL_DROP_RATIO_NUM_NONE,PS_CALL_DROP_RATIO2_DEN_NONE,PS_CALL_DROP_RATIO2_NUM_NONE,NUMERO_DE_USUARIOS_PH_OPTRF_NONE,HSDPA_THROUGHPUT_DEN_NONE,HSDPA_THROUGHPUT_NUM_NONE
43131,1092.0,1062.0,67.0,67.0,262.0,259.0,668.277,774558779.0,24.764,37.0,25.203,35.991,81177544.0,0.0,20.0,18.836,18.767,0.983,0.0,67.0,0.0,1950.0,262.0,0.0,0.0,67.0,3484.0,79910.0,1174.0,64.0,1.0,262.0,62.0,3327.0,64.0,63.44199999999999,5334299.0,5927710578.0
43132,155.0,155.0,8.0,8.0,48.0,48.0,2195.752,766709778.0,7.478,14.0,7.478,55.566,51934991.0,0.0,15.0,7.589,7.564,0.1,0.0,8.0,0.0,298.0,48.0,0.0,0.0,0.0,64.0,2688.0,0.0,8.0,0.0,52.0,7.0,962.0,6.0,17.52,1055157.0,5015645568.0
43133,720.0,709.0,51.0,51.0,182.0,178.0,1354.89,743519381.0,12.542,25.0,12.683,42.255,57389767.0,0.0,20.0,12.678,12.661,0.783,0.0,51.0,0.0,1404.0,182.0,0.0,0.0,0.0,2193.0,36036.0,792.0,46.0,2.0,163.0,54.0,2087.0,58.0,32.697,3739011.0,7000490906.0
43134,758.0,731.0,55.0,55.0,155.0,155.0,1298.785,626353832.0,12.633,26.0,12.867,49.456,70830703.0,0.0,26.0,13.047,12.914,0.833,0.0,55.0,0.0,1301.0,155.0,0.0,0.0,0.0,2805.0,35030.0,155.0,54.0,0.0,153.0,26.0,2952.0,29.0,39.798,2735261.0,6528357613.0
43135,513.0,502.0,24.0,24.0,86.0,86.0,1890.293,426745519.0,6.603,14.0,6.603,82.663,57920239.0,0.0,16.0,6.775,6.722,0.333,0.0,24.0,0.0,847.0,86.0,0.0,0.0,0.0,744.0,8600.0,0.0,26.0,0.0,82.0,9.0,1893.0,7.0,21.197,876331.0,4335084808.0
43136,1196.0,1061.0,84.0,76.0,276.0,273.0,1027.871,915633695.0,19.211,33.0,19.228,47.879,80329088.0,0.0,26.0,15.722,15.458,1.35,7.0,84.0,159.0,1929.0,276.0,3.0,0.0,732.0,5292.0,84732.0,9111.0,84.0,0.0,286.0,64.0,3629.0,60.0,58.122,2927370.0,6733460280.0
43137,832.0,754.0,43.0,37.0,153.0,150.0,1068.469,670460348.0,11.317,22.0,12.314,44.838,57542245.0,0.0,18.0,10.314,10.25,0.633,6.0,43.0,125.0,1531.0,153.0,2.0,0.0,357.0,1763.0,26928.0,3078.0,39.0,0.0,138.0,17.0,1963.0,15.0,34.464,2675125.0,5271459410.0
43138,381.0,343.0,26.0,25.0,98.0,97.0,1673.988,434228257.0,7.081,18.0,7.081,45.697,30708512.0,0.0,14.0,5.992,5.981,0.517,1.0,26.0,68.0,709.0,98.0,0.0,0.0,78.0,728.0,9310.0,968.0,26.0,0.0,90.0,5.0,1426.0,5.0,20.783,649763.0,3755832352.0
43139,1405.0,1253.0,80.0,77.0,287.0,285.0,743.997,810431116.0,17.639,32.0,18.358,42.514,71467546.0,0.0,27.0,15.139,15.072,1.067,3.0,80.0,222.0,2431.0,287.0,1.0,0.0,521.0,5680.0,105042.0,10992.0,78.0,1.0,269.0,50.0,2857.0,50.0,51.34100000000001,3315398.0,6546330022.0
43141,297.0,284.0,74.0,74.0,131.0,129.0,710.168,378833783.0,0.0,27.0,14.681,46.333,73950300.0,0.0,20.0,15.542,0.0,1.083,0.0,74.0,0.0,517.0,131.0,0.0,0.0,0.0,3922.0,17947.0,403.0,76.0,1.0,138.0,31.0,3066.0,28.0,43.025,,
43142,712.0,660.0,188.0,188.0,333.0,332.0,370.099,667437365.0,0.0,43.0,29.917,34.761,70519680.0,0.0,20.0,19.736,0.0,4.267,0.0,188.0,0.0,1195.0,333.0,0.0,0.0,0.0,29516.0,98235.0,959.0,190.0,3.0,305.0,51.0,4525.0,46.0,81.97800000000001,,
43143,201.0,184.0,51.0,51.0,81.0,81.0,617.849,302733523.0,0.0,20.0,12.589,33.358,55536740.0,0.0,20.0,13.767,0.0,0.7,0.0,51.0,0.0,359.0,81.0,0.0,45.0,102.0,2040.0,7290.0,405.0,46.0,1.0,107.0,31.0,1715.0,30.0,32.883,,
43144,80.0,80.0,23.0,23.0,84.0,81.0,825.042,394405374.0,0.0,27.0,13.814,39.922,55620240.0,0.0,20.0,14.5,0.0,1.35,0.0,23.0,0.0,114.0,84.0,0.0,0.0,0.0,207.0,5124.0,183.0,28.0,0.0,75.0,10.0,1914.0,10.0,33.757999999999996,,
43145,453.0,423.0,117.0,117.0,253.0,251.0,419.743,726847147.0,0.0,43.0,29.681,39.793,83009280.0,0.0,20.0,19.675,0.0,2.85,0.0,117.0,0.0,626.0,253.0,0.0,0.0,0.0,9009.0,53130.0,420.0,114.0,0.0,274.0,55.0,4639.0,53.0,79.612,,
