CELLID,DIA,HORA
30841,07/02/2023,14:30
30842,07/02/2023,14:30
30843,07/02/2023,14:30
30851,07/02/2023,14:30
30852,07/02/2023,14:30
30853,07/02/2023,14:30
30854,07/02/2023,14:30
30855,07/02/2023,14:30
30856,07/02/2023,14:30
30857,07/02/2023,14:30
30858,07/02/2023,14:30
30859,07/02/2023,14:30
30871,07/02/2023,14:30
30872,07/02/2023,14:30
30873,07/02/2023,14:30
30874,07/02/2023,14:30
30875,07/02/2023,14:30
30876,07/02/2023,14:30
30877,07/02/2023,14:30
30878,07/02/2023,14:30
30879,07/02/2023,14:30
30901,07/02/2023,14:30
30902,07/02/2023,14:30
30903,07/02/2023,14:30
30904,07/02/2023,14:30
30905,07/02/2023,14:30
30906,07/02/2023,14:30
30907,07/02/2023,14:30
30908,07/02/2023,14:30
30909,07/02/2023,14:30
30911,07/02/2023,14:30
30912,07/02/2023,14:30
30913,07/02/2023,14:30
30914,07/02/2023,14:30
30915,07/02/2023,14:30
30916,07/02/2023,14:30
30917,07/02/2023,14:30
30918,07/02/2023,14:30
30919,07/02/2023,14:30
30921,07/02/2023,14:30
30922,07/02/2023,14:30
30923,07/02/2023,14:30
30924,07/02/2023,14:30
30925,07/02/2023,14:30
30926,07/02/2023,14:30
30927,07/02/2023,14:30
30928,07/02/2023,14:30
30929,07/02/2023,14:30
30941,07/02/2023,14:30
30942,07/02/2023,14:30
30944,07/02/2023,14:30
30945,07/02/2023,14:30
30947,07/02/2023,14:30
30948,07/02/2023,14:30
30991,07/02/2023,14:30
30992,07/02/2023,14:30
30993,07/02/2023,14:30
30994,07/02/2023,14:30
30995,07/02/2023,14:30
30996,07/02/2023,14:30
31021,07/02/2023,14:30
31022,07/02/2023,14:30
31023,07/02/2023,14:30
31024,07/02/2023,14:30
31025,07/02/2023,14:30
31026,07/02/2023,14:30
31027,07/02/2023,14:30
31028,07/02/2023,14:30
31029,07/02/2023,14:30
31041,07/02/2023,14:30
31042,07/02/2023,14:30
31043,07/02/2023,14:30
31044,07/02/2023,14:30
31045,07/02/2023,14:30
