CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
31197,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31198,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31199,3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
31201,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31202,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31203,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31204,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31205,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31206,3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
31211,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31212,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31214,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31215,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31217,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31218,3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
31221,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31222,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31223,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31224,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31225,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31226,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31227,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31228,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31229,3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
31231,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31232,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31233,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31234,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31235,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31236,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31237,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31238,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31239,3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
31251,3125,,,BTO,,,,,
31252,3125,,,BTO,,,,,
31253,3125,,,BTO,,,,,
31254,3125,,,BTO,,,,,
31255,3125,,,BTO,,,,,
31256,3125,,,BTO,,,,,
31271,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31272,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31273,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31274,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31275,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31276,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31277,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31278,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31279,3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
31281,3128,2122,Centro Letonia,LMS,Miranda,Gran Caracas,Gran Caracas,10.498007,-66.849586
31284,3128,2122,Centro Letonia,LMS,Miranda,Gran Caracas,Gran Caracas,10.498007,-66.849586
31287,3128,2122,Centro Letonia,LMS,Miranda,Gran Caracas,Gran Caracas,10.498007,-66.849586
31311,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31312,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31313,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31314,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31315,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31316,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31317,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31318,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31319,3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
31331,3133,,,BTO,,,,,
31334,3133,,,BTO,,,,,
31341,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31342,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31343,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31344,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31345,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31346,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31347,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31348,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31349,3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
31361,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31362,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31363,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31364,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
31365,3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
