NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
3087,1277,San Nicolas Portuguesa,ACA,Portuguesa,Central,Centro Occidente,8.801519,-69.764108
3088,1179,La Hamaca Z. Ind. Pinonal,MCY,Aragua,Central,Centro,10.1863,-67.4608
3089,4162,El Palmar BOL,PTO,Bolívar,Oriente,Guayana,8.00513,-61.909664
3090,2700,Quinta Crespo MOVE,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.49353,-66.920314
3091,4101,Gran Mariscal,LCH,Sucre,Oriente,Oriente,10.473686,-64.12383
3092,3226,El Real,ACA,Barinas,Occidente,Andes,8.435964,-69.997719
3093,1020,Puerto Ayacucho,SFA,Amazonas,Central,Guayana,5.660997,-67.623169
3094,2395,Petare Micro,LUR,Miranda,Gran Caracas,Gran Caracas,10.478186,-66.807497
3095,3073,BACHAQUERO,VRA,Zulia,Occidente,Occidente,9.968297,-71.117636
3099,1368,Macapo COJ,ACA,Cojedes,Central,Centro Occidente,9.824853,-68.439108
3102,2059,Guaicoco,LMS,Miranda,Gran Caracas,Gran Caracas,10.469467,-66.768186
3103,3085,EJIDO,SCR,Mérida,Occidente,Andes,8.54063,-71.249886
3104,2132,Ciempies,LMS,Miranda,Gran Caracas,Gran Caracas,10.483247,-66.855286
3107,2397,Makro La Urbina,LUR,Miranda,Gran Caracas,Gran Caracas,10.495991,-66.79908
3108,4008,Guiria,LCH,Sucre,Oriente,Oriente,10.601519,-62.29883
3110,4078,La Arboleda,PLM,Nueva Esparta,Oriente,Oriente,10.971033,-63.833989
3111,4024,Cerro Quemado,PTO,Bolívar,Oriente,Guayana,8.247908,-62.795775
3117,2063,Filas de Mariche,LUR,Miranda,Gran Caracas,Gran Caracas,10.488397,-66.785286
3119,4010,Upata Centro,PTO,Bolívar,Oriente,Guayana,8.006583,-62.397325
3120,2286,El Junko,CNT,Vargas,Gran Caracas,Gran Caracas,10.485547,-67.059686
3121,2272,Luis Hurtado,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.486697,-66.993486
3122,3031,Cuatricentenaria,ACA,Barinas,Occidente,Andes,8.642047,-70.241608
3123,4134,Barcelona Industrial,LCH,Anzoátegui,Oriente,Oriente,10.124386,-64.640919
3126,2089,Vista Arroyo,LMS,Miranda,Gran Caracas,Gran Caracas,10.455017,-66.822586
3127,2256,Vista Alegre,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.486547,-66.957386
3128,2122,Centro Letonia,LMS,Miranda,Gran Caracas,Gran Caracas,10.498007,-66.849586
3129,4256,San Jose de Guaribe,MCY,Guarico,Central,Centro,10.230167,-67.335023
3131,2087,El Marques,LUR,Miranda,Gran Caracas,Gran Caracas,10.482447,-66.819286
3134,2147,Country Club Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.497827,-66.866686
3135,1086,Bella Cagua,MCY,Aragua,Central,Centro,10.166991,-67.451192
3136,1228,Carora Centro,BTO,Lara,Central,Centro Occidente,10.175436,-70.082986
3137,1232,Francisco de Miranda,MCY,Aragua,Central,Centro,9.3832,-67.0527
3141,4105,Cumana,LCH,Sucre,Oriente,Oriente,10.460769,-64.167164
3144,4018,Puerto Ordaz Centro,PTO,Bolívar,Oriente,Guayana,8.315686,-62.715747
3145,4047,Boqueron Maturin,PTO,Monagas,Oriente,Oriente,9.770686,-63.206886
3146,1224,Rio Claro,BTO,Lara,Central,Centro Occidente,9.93638,-69.345442
3151,2131,Los Angeles,LMS,Miranda,Gran Caracas,Gran Caracas,10.487537,-66.854986
3153,3306,VIAL TOVAR GUARAQUE,SCR,Mérida,Occidente,Andes,8.256797,-71.732719
3154,1097,Buena Vista,BTO,Lara,Central,Centro Occidente,9.859908,-69.45458
3156,1070,Santa Cruz de Aragua,MCY,Aragua,Central,Centro,10.17638,-67.512525
3157,3074,MUCUCHARASTI,SCR,Mérida,Occidente,Andes,8.613547,-71.12783
3159,2333,Km 9 El Junquito,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.471237,-67.002086
3163,2819,Lomas del Avila GSM,LUR,Miranda,Gran Caracas,Gran Caracas,10.482817,-66.78891
3164,4124,El Rincon,LCH,Anzoátegui,Oriente,Oriente,10.129241,-64.59433
3165,1504,Carrera 4 BTO,BTO,Lara,Central,Centro Occidente,10.079686,-69.346247
3166,2153,Alta Florida Norte,LMS,Distrito Capital,Gran Caracas,Gran Caracas,10.508427,-66.871586
3167,3328,PERIBECA TCH,SCR,Táchira,Occidente,Andes,7.826519,-72.271886
3168,4003,El Callao BOL,PTO,Bolívar,Oriente,Guayana,7.372111,-61.824833
3170,4058,Mirador Caripe,PTO,Monagas,Oriente,Oriente,10.189575,-63.508553
3171,1274,Vial Tamaca-Duaca (Paso de Tacarigua),BTO,Lara,Central,Centro Occidente,10.230686,-69.231942
3173,2193,Guaicaipuro,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.504287,-66.895686
3175,2171,Cumbres de Curumo,LMS,Miranda,Gran Caracas,Gran Caracas,10.461447,-66.880686
3178,1250,La Piedad Barquisimeto,BTO,Lara,Central,Centro Occidente,10.00988,-69.225997
3181,3208,MATA MULA,SCR,Táchira,Occidente,Andes,7.629853,-72.431053
3185,1171,Barquisimeto Industrial,BTO,Lara,Central,Centro Occidente,10.085408,-69.350497
3187,4049,Guayacan,LCH,Sucre,Oriente,Oriente,10.628697,-63.260386
3188,3081,LA PEDREGOSA,SCR,Mérida,Occidente,Andes,8.574353,-71.188664
3189,2142,AguaSal,LMS,Miranda,Gran Caracas,Gran Caracas,10.482977,-66.862786
3190,1240,San Fernando Norte,SFA,Apure,Central,Centro,7.891,-67.4737
3191,2194,Centro Medico,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.511547,-66.896286
3194,2254,Mangos de la Vega,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.450677,-66.953886
3198,4110,Wiston Churchill,LCH,Anzoátegui,Oriente,Oriente,8.885417,-64.234586
3199,2173,USB,LMS,Miranda,Gran Caracas,Gran Caracas,10.409905,-66.882086
3200,2370,Nuevo Circo (Move),CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.498658,-66.9071
3201,2308,Osma,CNT,Vargas,Gran Caracas,Gran Caracas,10.629116,-66.511714
3202,2148,El Rosal,LMS,Miranda,Gran Caracas,Gran Caracas,10.489677,-66.867286
3203,2068,Maca,LUR,Miranda,Gran Caracas,Gran Caracas,10.45724,-66.795732
3204,4030,Guri,PTO,Bolívar,Oriente,Guayana,7.770964,-63.047719
3205,2241,Ruperto Lugo,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.519157,-66.939386
3207,3068,LA CEIBA TRJ,VRA,Trujillo,Occidente,Occidente,9.471436,-71.01308
3208,2315,Barrio Union,LUR,Miranda,Gran Caracas,Gran Caracas,10.473097,-66.802386
3209,2092,Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.486077,-66.827086
3210,1126,San Jacinto,MCY,Aragua,Central,Centro,10.235297,-67.555803
3212,4128,CANTV Anzoategui,LCH,Anzoátegui,Oriente,Oriente,10.215197,-64.631786
3215,2103,Santa Cecilia,LUR,Miranda,Gran Caracas,Gran Caracas,10.492707,-66.834786
3217,4269,Fuerte Paramaconi Maturin (MVS Paramaconi),PTO,Monagas,Oriente,Oriente,9.719575,-63.241886
3218,1140,Duaca,BTO,Lara,Central,Centro Occidente,10.285853,-69.114497
3220,2121,Altamira Sur,LMS,Miranda,Gran Caracas,Gran Caracas,10.492207,-66.848786
3221,1134,Turmero,MCY,Aragua,Central,Centro,10.220797,-67.518386
3223,2072,Petare,LUR,Miranda,Gran Caracas,Gran Caracas,10.477327,-66.805586
3225,1027,San Isidro,MCY,Aragua,Central,Centro,10.258741,-67.593525
3227,4117,Santa Fe,LCH,Sucre,Oriente,Oriente,10.279853,-64.422164
3229,2206,Esquina San Miguel,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.511167,-66.907786
3230,2215,Banco Central,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.508557,-66.914286
3231,1294,Rio Acarigua,ACA,Portuguesa,Central,Centro Occidente,9.515075,-69.274886
3236,4100,Punta de Piedra,PLM,Nueva Esparta,Oriente,Oriente,10.897075,-64.086886
3237,3337,Socopo Centro BRN,ACA,Barinas,Occidente,Andes,8.227491,-70.816719
3238,4087,Isla Bonita,PLM,Nueva Esparta,Oriente,Oriente,11.132697,-63.915186
3239,4168,El Triunfo DAM,PTO,Delta Amacuro,Oriente,Guayana,8.411519,-62.490775
3241,4014,Temblador,PTO,Monagas,Oriente,Oriente,9.007977,-62.639586
3242,1416,San Miguel de Cunaviche,SFA,Apure,Central,Centro,7.36423,-67.4115
3244,1328,La Julia Turmero,MCY,Aragua,Central,Centro,10.2098,-67.5859
3246,1124,Cerro Araure,ACA,Portuguesa,Central,Centro Occidente,9.580103,-69.224192
3247,1273,Guarico de Lara,BTO,Lara,Central,Centro Occidente,9.636075,-69.788803
3248,1017,Orituco,MCY,Guarico,Central,Centro,9.396353,-66.457914
3249,2430,Chuao Micro,LMS,Miranda,Gran Caracas,Gran Caracas,10.4837,-66.8451
3251,1851,Las Flores Verdes Capanaparo APR,SFA,Apure,Central,Centro,6.84921,-69.013888
3252,1181,Av. Las Industrias,BTO,Lara,Central,Centro Occidente,10.072075,-69.374942
3254,4206,San Antonio Del Golfo SUC,LCH,Sucre,Oriente,Oriente,10.441241,-63.789664
3255,1194,Agua Blanca Portuguesa,ACA,Portuguesa,Central,Centro Occidente,9.643464,-69.11633
3256,1144,El Rosal Barquisimeto,BTO,Lara,Central,Centro Occidente,10.060686,-69.334053
3257,4050,Maturin Industrial,PTO,Monagas,Oriente,Oriente,9.717147,-63.266686
3258,3187,PIRINEOS TCH,SCR,Táchira,Occidente,Andes,7.777297,-72.212525
3259,1270,Quebrada Arriba LAR,BTO,Lara,Central,Centro Occidente,10.239853,-70.537442
3265,1323,UNEXPO Barquisimeto,BTO,Lara,Central,Centro Occidente,10.059575,-69.366608
3266,2297,Geremba,CNT,Miranda,Gran Caracas,Gran Caracas,10.409936,-67.218219
3269,2129,Chacao,LMS,Miranda,Gran Caracas,Gran Caracas,10.492827,-66.853486
3270,2025,La Sabana,CNT,Vargas,Gran Caracas,Gran Caracas,10.629257,-66.415286
3271,2364,La Florida (Move),LMS,Distrito Capital,Gran Caracas,Gran Caracas,10.502964,-66.877386
3272,1001,Ospino,ACA,Portuguesa,Central,Centro Occidente,9.303436,-69.451053
3273,2127,Bello Campo,LMS,Miranda,Gran Caracas,Gran Caracas,10.493787,-66.852386
3274,3059,SABANA DE MENDOZA,VRA,Trujillo,Occidente,Occidente,9.435325,-70.772469
3276,1031,Country Club BTO,BTO,Lara,Central,Centro Occidente,10.065825,-69.295553
3278,3253,AGUA SANTA,VRA,Trujillo,Occidente,Occidente,9.512075,-70.66883
3279,2198,Parque Anauco,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.516687,-66.899786
3280,4081,Playa el Agua,PLM,Nueva Esparta,Oriente,Oriente,11.124197,-63.849586
3281,4143,Neveri,LCH,Anzoátegui,Oriente,Oriente,10.167597,-64.684686
3282,3223,TRINIDAD DE ORICHUNA,SCR,Apure,Central,Centro,7.113741,-69.787164
3283,1061,El Sombrero,MCY,Guarico,Central,Centro,9.388464,-67.069942
3284,1110,La Victoria,MCY,Aragua,Central,Centro,10.228186,-67.323525
3289,3237,Hato Palma Sola BRN,ACA,Barinas,Occidente,Andes,8.658214,-70.277053
3290,4255,Urb Andres Eloy Blanco Ciudad Bolivar,PTO,Bolívar,Oriente,Guayana,8.101241,-63.53383
3295,1167,Chivacoa,BTO,Yaracuy,Central,Centro Occidente,10.238297,-68.94208
3296,3144,EL VIGIA CENTRO,SCR,Mérida,Occidente,Andes,8.614436,-71.647886
3299,1193,Pavia,BTO,Lara,Central,Centro Occidente,10.097075,-69.427164
3300,4098,La Guardia,PLM,Nueva Esparta,Oriente,Oriente,10.996825,-64.019086
3301,1053,Aroa,BTO,Yaracuy,Central,Centro Occidente,10.418741,-68.923553
3302,1627,Barrio El Rosario Valle de la Pascua,MCY,Guarico,Central,Centro,10.2309,-67.3105
3303,2159,Micro Bello Monte,LMS,Distrito Capital,Gran Caracas,Gran Caracas,10.487877,-66.873886
3304,3357,TRUJILLO CENTRO,VRA,Trujillo,Occidente,Occidente,9.366241,-70.436053
3306,3049,VALERA CENTRO,VRA,Trujillo,Occidente,Occidente,9.315547,-70.60833
3307,1037,Sanare El Bojo LAR,BTO,Lara,Central,Centro Occidente,9.753325,-69.626136
3308,4067,Perimetral,PTO,Bolívar,Oriente,Guayana,8.070857,-63.582486
3310,4180,Cachipo MNG,PTO,Monagas,Oriente,Oriente,9.916241,-63.145219
3312,3164,PREGONERO,SCR,Táchira,Occidente,Andes,8.018464,-71.767719
3315,4020,Altavista,PTO,Bolívar,Oriente,Guayana,8.297075,-62.726608
3317,2276,Macarao,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.424067,-67.006786
3318,1257,Cabruta GRC,MCY,Guarico,Central,Centro,9.35651,-66.91285
3319,2336,Km 13 El Junquito,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.482908,-67.029942
3323,3318,COLONCITO,SCR,Táchira,Occidente,Andes,8.323658,-72.090164
3324,2144,Micro Santa Fe,LMS,Miranda,Gran Caracas,Gran Caracas,10.463347,-66.863686
3329,3194,QUINTA AVENIDA,SCR,Táchira,Occidente,Andes,7.765408,-72.23383
3330,1063,Tinaco,ACA,Cojedes,Central,Centro Occidente,9.759103,-68.44858
3332,1096,El Castano,MCY,Aragua,Central,Centro,10.304186,-67.558886
3333,2339,Las Tunitas MVS,CNT,Vargas,Gran Caracas,Gran Caracas,10.58763,-67.074942
3334,2126,Caraballeda,CNT,Vargas,Gran Caracas,Gran Caracas,10.618477,-66.852086
3335,3342,URENA CENTRO TCH,SCR,Táchira,Occidente,Andes,7.917908,-72.455497
3336,3106,LA PEDRERA BRN,SCR,Táchira,Occidente,Andes,7.531797,-71.571608
3338,2273,CCS-La Guaira,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.530397,-66.995286
3339,2141,La Alameda,LMS,Miranda,Gran Caracas,Gran Caracas,10.473837,-66.861986
3340,1116,Mariara,MCY,Aragua,Central,Centro,10.282075,-67.713164
3341,4041,Maturin,PTO,Monagas,Oriente,Oriente,9.745964,-63.169942
3343,4065,Soledad,PTO,Anzoátegui,Oriente,Oriente,8.154737,-63.560886
3344,1018,Caicara del Orinoco,MCY,Bolívar,Oriente,Guayana,7.6472,-66.170894
3345,4270,Manoa San Felix (MVS San Felix Centro),PTO,Bolívar,Oriente,Guayana,8.351797,-62.659386
3348,4013,Chirica,PTO,Bolívar,Oriente,Guayana,8.351797,-62.636053
3349,1023,Barquisimeto Oeste,BTO,Lara,Central,Centro Occidente,10.023769,-69.385136
3350,2060,Terminal de Oriente,LUR,Miranda,Gran Caracas,Gran Caracas,10.499297,-66.770486
3352,3373,SANTA ANA TCH,SCR,Táchira,Occidente,Andes,7.644603,-72.278469
3353,1189,Circunvalacion Guanare,ACA,Portuguesa,Central,Centro Occidente,9.031103,-69.768636
3354,1226,Barbacoas,MCY,Aragua,Central,Centro,10.2533,-67.6386
3356,3053,CERRO LA NUCA,SCR,Mérida,Occidente,Andes,8.91513,-70.673275
3357,2050,Karimao,LUR,Miranda,Gran Caracas,Gran Caracas,10.468697,-66.717986
3359,2344,CCCT,LMS,Miranda,Gran Caracas,Gran Caracas,10.485053,-66.855125
3360,1002,Zuata,MCY,Aragua,Central,Centro,10.187183,-67.37695
3361,4001,Tumeremo,PTO,Bolívar,Oriente,Guayana,7.303017,-61.504086
3362,1807,Barrio Pueblo Nuevo BTO,BTO,Lara,Central,Centro Occidente,10.053325,-69.372136
3364,3080,Santa Barbara Brn,ACA,Barinas,Occidente,Andes,7.813186,-71.177053
3366,1080,Quibor,BTO,Lara,Central,Centro Occidente,9.926353,-69.622636
3367,1204,Loma Redonda,BTO,Lara,Central,Centro Occidente,9.926603,-69.239914
3368,1022,Base Libertador,MCY,Aragua,Central,Centro,10.174214,-67.556164
3371,3273,LA PARROQUIA MRD,SCR,Mérida,Occidente,Andes,8.558658,-71.200275
3373,2212,Puente Hierro,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.493647,-66.911386
3376,1082,Santa Elena,BTO,Lara,Central,Centro Occidente,10.065964,-69.286692
3377,1075,Las Trinitarias,BTO,Lara,Central,Centro Occidente,10.081158,-69.279219
3379,4090,Villa Rosa,PLM,Nueva Esparta,Oriente,Oriente,10.950697,-63.927442
3380,2095,Los Ruices,LUR,Miranda,Gran Caracas,Gran Caracas,10.491467,-66.829086
3382,3275,TUCANI MVS,VRA,Zulia,Occidente,Occidente,8.961241,-71.272997
3386,3029,Barinas,ACA,Barinas,Occidente,Andes,8.626964,-70.217636
3387,1215,San Fernando Este,SFA,Apure,Central,Centro,7.86577,-67.4282
3389,4207,Cachamay Puerto Ordaz,PTO,Bolívar,Oriente,Guayana,8.31263,-62.70383
3390,3088,EL CANTON BRN,SCR,Barinas,Occidente,Andes,7.467075,-71.307442
3391,2051,Mariches II,LMS,Miranda,Gran Caracas,Gran Caracas,10.426087,-66.719086
3392,1004,Cata,MCY,Aragua,Central,Centro,10.497603,-67.750969
3393,2376,Boleita Sur,LUR,Miranda,Gran Caracas,Gran Caracas,10.490408,-66.823553
3395,1024,Barrio Union BTO,BTO,Lara,Central,Centro Occidente,10.085269,-69.329664
3396,2084,Boleita Norte,LUR,Miranda,Gran Caracas,Gran Caracas,10.501727,-66.818586
3398,3007,Libertad BRN,ACA,Barinas,Occidente,Andes,8.328186,-69.634386
3399,2157,El Placer,LMS,Miranda,Gran Caracas,Gran Caracas,10.411707,-66.872386
3404,2204,La Candelaria,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.505387,-66.905186
3406,1208,Magdaleno,MCY,Aragua,Central,Centro,10.2566,-67.6194
3407,3037,La Caramuca,ACA,Barinas,Occidente,Andes,8.599297,-70.32533
3409,1172,Papelon,ACA,Portuguesa,Central,Centro Occidente,8.939853,-69.46133
3410,1319,Cagua III ARA,MCY,Aragua,Central,Centro,10.2217,-67.2829
3411,2152,Lomas de la Alameda (Santa Fe Norte),LMS,Miranda,Gran Caracas,Gran Caracas,10.466047,-66.871486
3412,2114,Chuao,LMS,Miranda,Gran Caracas,Gran Caracas,10.483687,-66.845186
3415,1334,Zona Industrial II Barquisimeto,BTO,Lara,Central,Centro Occidente,10.100128,-69.359747
3416,3077,LA HECHICERA,SCR,Mérida,Occidente,Andes,8.628575,-71.152608
3417,3236,CARACHE TRJ,VRA,Trujillo,Occidente,Occidente,9.624297,-70.236053
3418,1006,San Francisco de Asis,MCY,Aragua,Central,Centro,10.064853,-67.56408
3419,1021,Choroni,MCY,Aragua,Central,Centro,10.504519,-67.613858
3420,4265,Polideportivo Felix Velasquez Cumana (MVS Polideportivo),LCH,Sucre,Oriente,Oriente,10.445964,-64.173553
3421,1367,La Aguadita COJ,ACA,Cojedes,Central,Centro Occidente,9.811408,-68.386275
3422,2291,Pozo Negro,CNT,Vargas,Gran Caracas,Gran Caracas,10.462127,-67.100786
3423,2375,Los Chorros II,LUR,Miranda,Gran Caracas,Gran Caracas,10.497353,-66.829386
3424,1317,El Trompillo Barquisimeto,BTO,Lara,Central,Centro Occidente,10.104297,-69.33133
3428,1254,Bobare Lara,BTO,Lara,Central,Centro Occidente,10.267158,-69.474942
3432,4116,Boca del Pozo,PLM,Nueva Esparta,Oriente,Oriente,11.006797,-64.380219
3433,2076,La Urbina Industrial,LUR,Miranda,Gran Caracas,Gran Caracas,10.491067,-66.808986
3434,1015,Las Mercedes del Llano,MCY,Guarico,Central,Centro,9.111186,-66.394775
3435,2349,Ruiz Pineda,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.436155,-66.996894
3437,4381,San Agustín MNG,PTO,Monagas,Oriente,Oriente,9.796666667,-63.06983333
3438,4016,San Felix Centro,PTO,Bolívar,Oriente,Guayana,8.368464,-62.663553
3439,1153,Zaraza,MCY,Guarico,Central,Centro,9.91763,-67.3537
3440,2169,Lomas Bello Monte 2,LMS,Miranda,Gran Caracas,Gran Caracas,10.479757,-66.878486
3442,4060,Vista Hermosa,PTO,Bolívar,Oriente,Guayana,8.087908,-63.529386
3444,1289,Payara Portuguesa,ACA,Portuguesa,Central,Centro Occidente,9.489575,-69.076053
3447,4179,Tunapuy SUC,LCH,Sucre,Oriente,Oriente,10.574575,-63.107719
3448,1030,Gobernacion,BTO,Lara,Central,Centro Occidente,10.06613,-69.316247
3449,2245,Terrazas de la Vega,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469407,-66.945686
3450,4150,San Diego de Cabrutica,LCH,Anzoátegui,Oriente,Oriente,8.413897,-64.794586
3452,2295,Km. 34 El Junquito,CNT,Miranda,Gran Caracas,Gran Caracas,10.435217,-67.165286
3453,2264,MCaricuao,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.429627,-66.974086
3454,1143,Hospital Pineda,BTO,Lara,Central,Centro Occidente,10.079908,-69.312192
3455,4132,Av. Bolivar PLC,LCH,Anzoátegui,Oriente,Oriente,10.214241,-64.638219
3459,4178,Rio Caribe Centro SUC,LCH,Sucre,Oriente,Oriente,10.69763,-63.108553
3460,2205,San Bernardino Norte,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.515536,-66.9048
3463,2037,Los Caracas,CNT,Vargas,Gran Caracas,Gran Caracas,10.626717,-66.569586
3468,2058,Turumo,LUR,Miranda,Gran Caracas,Gran Caracas,10.479297,-66.760486
3469,4104,El Tigrito,LCH,Anzoátegui,Oriente,Oriente,8.894937,-64.156886
3470,3057,GUASDUALITO,SCR,Apure,Central,Centro,7.24338,-70.733497
3472,1111,Las Delicias Maracay,MCY,Aragua,Central,Centro,10.263603,-67.587358
3476,2138,Country Club,LMS,Miranda,Gran Caracas,Gran Caracas,10.506497,-66.859486
3477,2661,Distribuidor La Castellana,LMS,Miranda,Gran Caracas,Gran Caracas,10.512741,-66.858525
3478,2600,Distribuidor Altamira Norte,LMS,Miranda,Gran Caracas,Gran Caracas,10.511566,-66.844989
3479,4075,Los Cerritos,PLM,Nueva Esparta,Oriente,Oriente,11.017497,-63.821986
