Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511G, CellID=35117",Reliable,0,0,0,0,0,0,0,0,0,0,1867840,0,0,30312960,54230720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212480,24358080,497280,0,0,0,0,0,0,0,0,4646960,4044512,1.517,0,,,,,,,,,,,9.742,,,33.099,31.254,,,,,,,,,,,,,,,,4.341,9.36,20.965,,,,,,,,,1.773,2.198,17850.24,14686.319,0,0,24365.625,1824.063,0,22267.5,0,49743.125,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511F, CellID=35116",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511E, CellID=35115",Reliable,0,0,0,0,0,0,0,0,0,0,300480,0,0,13578240,59198080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279360,23625920,51200,0,0,0,0,0,0,0,0,3069416,1951776,0.95,0,,,,,,,,,,,10.422,,,29.669,42.033,,,,,,,,,,,,,,,,4.671,10.25,28.444,,,,,,,,,1.748,2.169,7419.806,13103.244,0,0,22725.625,272.188,0,13068.438,0,55372.188,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511D, CellID=35114",Reliable,0,0,0,0,0,0,0,0,0,0,1307200,0,0,24056000,49781760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691520,22627520,91840,0,0,0,0,0,0,0,0,3940160,3203232,0.9,0,,,,,,,,,,,8.582,,,31.879,33.663,,,,,,,,,,,,,,,,4.381,8.796,19.213,,,,,,,,,1.733,2.209,11502.603,10588.78,0,0,22477.5,1276.563,0,23065.313,0,47543.75,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689I, CellID=38699",Reliable,0,0,0,0,0,0,0,0,0,0,2931200,84800,0,1792960,100765440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307520,24021760,7977280,8952960,0,0,0,9013760,0,0,0,7902288,11655232,3.767,0,,,,,,,,,,,6.999,12.011,,4.333,16.766,,,,,,,,,,,,,,,,4.55,10.629,19.735,35.308,,,,93.204,,,,1.796,2.408,37693.661,39423.549,0,0,31935.625,2924.688,8695.938,1525.313,0,92223.125,8802.5,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689H, CellID=38698",Reliable,0,0,0,0,0,0,0,0,0,0,757760,390720,0,9485440,100165440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958080,28386880,760320,411200,0,0,0,6720,0,0,0,6246800,6655248,0.95,0,,,,,,,,,,,7.07,5.226,,11.337,18.291,,,,,,,,,,,,,,,,4.797,9.848,20.745,33.404,,,,13.44,,,,1.787,2.324,11297.565,9268.625,0,0,27596.875,1081.875,148.75,9187.813,0,91961.563,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689G, CellID=38697",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689F, CellID=38696",Reliable,0,0,0,0,0,0,0,0,0,0,2313920,627200,0,2680960,61396160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795520,22319200,16931200,23868480,0,0,0,48353600,0,0,0,6561992,9852040,3.483,0,,,,,,,,,,,6.264,7.198,,5.83,16.861,,,,,,,,,,,,,,,,4.457,10.482,18.29,29.358,,,,64.788,,,,1.739,2.385,31043.483,35428.982,0,0,38730.781,2855.938,23065,2607.188,0,55321.25,46794.688,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689E, CellID=38695",Reliable,0,0,0,0,0,0,0,0,0,0,1143040,24640,0,3861760,75579200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879040,20347520,1032320,1711360,0,0,0,1662400,0,0,0,4776496,5718480,1.533,0,,,,,,,,,,,10.097,15.4,,7.65,21.494,,,,,,,,,,,,,,,,4.655,10.68,18.708,36.74,,,,76.821,,,,1.759,2.332,10055.702,10543.149,0,0,19642.813,1058.125,494.063,3770.625,0,68610.625,747.813,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689D, CellID=38694",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689C, CellID=38693",Reliable,0,0,0,0,0,0,0,0,0,0,6155840,1779200,0,1499520,96240320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5301120,33033920,53225920,72192960,0,0,0,158425600,0,0,0,9267408,14349432,5.483,0,,,,,,,,,,,7.983,10.231,,9.404,18.343,,,,,,,,,,,,,,,,4.332,10.414,16.423,25.279,,,,52.434,,,,1.696,2.4,46656.393,50207.669,0,0,87837.5,7632.813,70046.25,1457.813,0,89217.188,153810.938,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689B, CellID=38692",Reliable,0,0,0,0,0,0,0,0,0,0,1855360,509440,0,4992000,106953600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676480,41130240,2780480,3733120,0,0,0,5247040,0,0,0,8045000,8267560,2.183,0,,,,,,,,,,,9.844,7.214,,11.056,19.571,,,,,,,,,,,,,,,,4.639,9.749,15.681,28.333,,,,87.001,,,,1.787,2.392,22130.543,23902.427,0,0,41072.188,2258.125,1275,4875,0,100683.438,2691.563,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689A, CellID=38691",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511C, CellID=35113",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511B, CellID=35112",Reliable,0,0,0,0,0,0,0,0,0,0,740160,0,0,8695680,38421440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451840,15506880,57280,0,0,0,0,0,0,0,0,2856216,2669408,0.667,0,,,,,,,,,,,9.887,,,27.996,34.145,,,,,,,,,,,,,,,,4.513,9.625,24.374,,,,,,,,,1.756,2.261,7396.185,7368.952,0,0,15104.688,713.438,0,8185,0,36639.688,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511A, CellID=35111",Reliable,0,0,0,0,0,0,0,0,0,0,959680,0,0,10067840,37476480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533760,14440000,0,0,0,0,0,0,0,0,0,2494536,2429032,0.783,0,,,,,,,,,,,10.66,,,26.414,32.54,,,,,,,,,,,,,,,,4.567,10.116,,,,,,,,,,1.714,2.212,8173.781,7955.959,0,0,14285.938,931.563,0,9648.125,0,35465.625,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524F, CellID=35246",Reliable,0,0,0,0,0,0,0,0,0,0,1584640,12917760,0,54892480,168321920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007680,20416320,213760,94720,0,0,0,0,0,0,0,7986488,7628768,1.967,0,,,,,,,,,,,8.665,10.803,,17.288,27.792,,,,,,,,,,,,,,,,4.421,9.812,25.879,10.273,,,,,,,,1.822,2.389,15475.8,17578.2,0,0,21093.125,14129.063,92.5,53605.938,0,163691.563,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524E, CellID=35245",Reliable,0,0,0,0,0,0,0,0,0,0,636480,464000,0,16147200,48874240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430720,10342880,0,163520,0,0,0,278720,0,0,0,3851936,3492672,0.967,0,,,,,,,,,,,5.934,15.243,,14.768,16.07,,,,,,,,,,,,,,,,4.582,9.786,,10.73,,,,12.246,,,,1.83,2.369,11225.439,12383.116,0,0,10375.469,1074.688,159.688,15759.375,0,46590.938,272.188,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524D, CellID=35244",Reliable,0,0,0,0,0,0,0,0,0,0,1565440,13001600,0,38416640,98408320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053760,21132800,384640,296640,0,0,0,9920,0,0,0,9770088,8254744,2.567,0,,,,,,,,,,,7.167,11.192,,14.822,22.523,,,,,,,,,,,,,,,,4.511,9.763,23.354,32.455,,,,14.171,,,,1.857,2.428,26039.917,32505.425,0,0,21786.563,13760,289.688,37215.313,0,91486.563,9.688,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524C, CellID=35243",Reliable,0,0,0,0,0,0,0,0,0,0,1628480,11232640,0,40188160,137664960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388800,20224960,363840,211200,0,0,0,183040,0,0,0,7827200,7484752,0.55,0,,,,,,,,,,,6.952,9.753,,13.479,21.84,,,,,,,,,,,,,,,,4.436,9.612,15.717,47.568,,,,31.778,,,,1.867,2.413,3843.271,4337.243,0,0,21458.75,12559.688,206.25,39246.25,0,134433.125,178.75,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524B, CellID=35242",Reliable,0,0,0,0,0,0,0,0,0,0,480320,3200,0,13910080,48338880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217600,8839040,153280,266240,0,0,0,2880,0,0,0,3759136,3146296,1.233,0,,,,,,,,,,,9.536,3.2,,15.499,17.165,,,,,,,,,,,,,,,,4.6,10.003,25.005,10.858,,,,1.8,,,,1.892,2.335,15079.429,15888.311,0,0,8725.938,469.063,260,13577.5,0,45912.5,2.813,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524A, CellID=35241",Reliable,0,0,0,0,0,0,0,0,0,0,1289920,9636480,0,34582080,82767360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360640,16763520,572480,817920,0,0,0,0,0,0,0,8337088,7154640,2.833,0,,,,,,,,,,,7.316,10.032,,17.538,22.581,,,,,,,,,,,,,,,,4.595,9.752,19.85,25.252,,,,,,,,1.882,2.409,25932.177,36653.025,0,0,18003.75,10670.313,733.75,33659.375,0,79902.813,0,0,,,0,0
