Result Time,Granularity Period,Object Name,Reliability,HSDPA_THROUGHPUT
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=6, Cell Name=N/A",Reliable,1013.1178546162608
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=7, Cell Name=N/A",Reliable,1098.0339417056207
2023-03-20 08:00,30,"U_3989_CERRO_CAICET_AMA/ULoCell:NodeB Function Name=U_3989_CERRO_CAICET_AMA, Local Cell ID=8, Cell Name=N/A",Reliable,731.6156475793915
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=0, Cell Name=N/A",Reliable,2110.0114721105087
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=1, Cell Name=N/A",Reliable,72.85625711947263
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=2, Cell Name=N/A",Reliable,100.5419948677033
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=3, Cell Name=N/A",Reliable,1742.9229006057667
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=4, Cell Name=N/A",Reliable,43.244187607885976
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=5, Cell Name=N/A",Reliable,51.246554700889185
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=6, Cell Name=N/A",Reliable,1977.1940623015037
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=7, Cell Name=N/A",Reliable,48.47389426919182
2023-03-20 08:00,30,"U_3190_SAN_FERNANDO_NORTE/ULoCell:NodeB Function Name=U_3190_SAN_FERNANDO_NORTE, Local Cell ID=8, Cell Name=N/A",Reliable,49.8854827859356
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=0, Cell Name=N/A",Reliable,26.02748829144932
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=1, Cell Name=N/A",Reliable,912.4624590800912
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=2, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=3, Cell Name=N/A",Reliable,27.58114693102743
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=4, Cell Name=N/A",Reliable,1063.1483695336017
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=5, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=6, Cell Name=N/A",Reliable,28.5165821027798
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=7, Cell Name=N/A",Reliable,824.8654800267813
2023-03-20 08:00,30,"U_3026_ACHAGUAS/ULoCell:NodeB Function Name=U_3026_ACHAGUAS, Local Cell ID=8, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=0, Cell Name=N/A",Reliable,4171.9743684534815
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=1, Cell Name=N/A",Reliable,2326.8943023272523
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=2, Cell Name=N/A",Reliable,793.8498806701398
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=3, Cell Name=N/A",Reliable,4841.712995958513
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=4, Cell Name=N/A",Reliable,1651.7922170439629
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=5, Cell Name=N/A",Reliable,828.5315869497907
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=6, Cell Name=N/A",Reliable,4877.761061668301
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=7, Cell Name=N/A",Reliable,493.29702950350827
2023-03-20 08:00,30,"U_3387_SAN_FERNANDO_ESTE/ULoCell:NodeB Function Name=U_3387_SAN_FERNANDO_ESTE, Local Cell ID=8, Cell Name=N/A",Reliable,257.979071113957
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=0, Cell Name=N/A",Reliable,1128.5633459432136
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=1, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=2, Cell Name=N/A",Reliable,1243.6675727090517
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=3, Cell Name=N/A",Reliable,1653.9065317732372
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=4, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=5, Cell Name=N/A",Reliable,1560.153708250763
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=6, Cell Name=N/A",Reliable,1899.5342490176852
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=7, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3681_BIRUACA/ULoCell:NodeB Function Name=U_3681_BIRUACA, Local Cell ID=8, Cell Name=N/A",Reliable,551.7169831330333
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=0, Cell Name=N/A",Reliable,1207.7180539285027
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=1, Cell Name=N/A",Reliable,1081.5259736449584
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=2, Cell Name=N/A",Reliable,1293.870154063624
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=3, Cell Name=N/A",Reliable,1284.1170358986992
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=4, Cell Name=N/A",Reliable,1217.630690287027
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=5, Cell Name=N/A",Reliable,1978.862341722173
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=6, Cell Name=N/A",Reliable,1155.5139114656272
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=7, Cell Name=N/A",Reliable,1422.3829633983057
2023-03-20 08:00,30,"U_3659_BARRIO_ANDRES_ELOY_BLANCO/ULoCell:NodeB Function Name=U_3659_BARRIO_ANDRES_ELOY_BLANCO, Local Cell ID=8, Cell Name=N/A",Reliable,1696.6306294140154
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=0, Cell Name=N/A",Reliable,1940.6477272727273
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=1, Cell Name=N/A",Reliable,1193.1409495548962
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=2, Cell Name=N/A",Reliable,443.9954834304921
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=3, Cell Name=N/A",Reliable,1310.3932334469846
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=4, Cell Name=N/A",Reliable,1575.7416997551793
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=5, Cell Name=N/A",Reliable,2005.897489852968
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=6, Cell Name=N/A",Reliable,10343.70630067299
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=7, Cell Name=N/A",Reliable,1518.3473185642404
2023-03-20 08:00,30,"U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO/ULoCell:NodeB Function Name=U_4565_VIAL_PTO_PAEZ_PTO_AYACUCHO, Local Cell ID=8, Cell Name=N/A",Reliable,1672.659946741015
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=0, Cell Name=N/A",Reliable,1110.3719031784165
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=1, Cell Name=N/A",Reliable,1718.788692764462
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=2, Cell Name=N/A",Reliable,1226.7073382830538
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=3, Cell Name=N/A",Reliable,1271.3990505142058
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=4, Cell Name=N/A",Reliable,2288.220125846927
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=5, Cell Name=N/A",Reliable,1067.926605183487
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=6, Cell Name=N/A",Reliable,1280.6235339797604
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=7, Cell Name=N/A",Reliable,2007.2842659906514
2023-03-20 08:00,30,"U_4025_PUERTO_PAEZ/ULoCell:NodeB Function Name=U_4025_PUERTO_PAEZ, Local Cell ID=8, Cell Name=N/A",Reliable,1105.4924156892512
2023-03-20 08:00,30,"U_4543_GUACHARA_APR/ULoCell:NodeB Function Name=U_4543_GUACHARA_APR, Local Cell ID=0, Cell Name=N/A",Reliable,207.05100341484936
2023-03-20 08:00,30,"U_4543_GUACHARA_APR/ULoCell:NodeB Function Name=U_4543_GUACHARA_APR, Local Cell ID=1, Cell Name=N/A",Reliable,555.5331784915722
2023-03-20 08:00,30,"U_4543_GUACHARA_APR/ULoCell:NodeB Function Name=U_4543_GUACHARA_APR, Local Cell ID=2, Cell Name=N/A",Reliable,258.02601434928596
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=0, Cell Name=N/A",Reliable,1434.0824741215508
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=1, Cell Name=N/A",Reliable,3561.4760234065325
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=2, Cell Name=N/A",Reliable,67.96252206686611
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=3, Cell Name=N/A",Reliable,1655.4976523293142
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=4, Cell Name=N/A",Reliable,3403.344062310392
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=5, Cell Name=N/A",Reliable,55.66347398930839
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=6, Cell Name=N/A",Reliable,1756.2453075120177
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=7, Cell Name=N/A",Reliable,3615.6599766644895
2023-03-20 08:00,30,"U_3597_LOS_PIJIGUAOS/ULoCell:NodeB Function Name=U_3597_LOS_PIJIGUAOS, Local Cell ID=8, Cell Name=N/A",Reliable,47.061204598358884
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=0, Cell Name=N/A",Reliable,55.719397080219615
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=1, Cell Name=N/A",Reliable,163.95506465445527
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=2, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=3, Cell Name=N/A",Reliable,16.11880243997671
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=4, Cell Name=N/A",Reliable,255.80483809940736
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=5, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=6, Cell Name=N/A",Reliable,17.21761227594488
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=7, Cell Name=N/A",Reliable,128.55701098533098
2023-03-20 08:00,30,"U_3601_ELORZA/ULoCell:NodeB Function Name=U_3601_ELORZA, Local Cell ID=8, Cell Name=N/A",Reliable,0
2023-03-20 08:00,30,"U_4117_MANTECAL/ULoCell:NodeB Function Name=U_4117_MANTECAL, Local Cell ID=0, Cell Name=N/A",Reliable,1414.4643839359162
